country,year,ratio_employment_to_population,age_group_simp,level_education_standardised,average_month_earning,average_earning_per_country,average_employ_rate_per_country
AFG,2020,13.73,Total,EDU_AGGREGATE_TOTAL,141.164,125.5,21.0
AFG,2020,13.087,15_24,EDU_AGGREGATE_TOTAL,141.164,125.5,21.0
AFG,2020,15.267,25_34,EDU_AGGREGATE_TOTAL,141.164,125.5,21.0
AFG,2020,16.692,35_44,EDU_AGGREGATE_TOTAL,141.164,125.5,21.0
AFG,2020,13.765,45_54,EDU_AGGREGATE_TOTAL,141.164,125.5,21.0
AFG,2020,9.828,55_64,EDU_AGGREGATE_TOTAL,141.164,125.5,21.0
AFG,2020,3.439,65+,EDU_AGGREGATE_TOTAL,141.164,125.5,21.0
AFG,2020,13.657,Total,LESS_THAN_BASIC,160.875,125.5,21.0
AFG,2020,14.038,15_24,LESS_THAN_BASIC,160.875,125.5,21.0
AFG,2020,14.24,25_34,LESS_THAN_BASIC,160.875,125.5,21.0
AFG,2020,16.677,35_44,LESS_THAN_BASIC,160.875,125.5,21.0
AFG,2020,13.212,45_54,LESS_THAN_BASIC,160.875,125.5,21.0
AFG,2020,9.582,55_64,LESS_THAN_BASIC,160.875,125.5,21.0
AFG,2020,3.504,65+,LESS_THAN_BASIC,160.875,125.5,21.0
AFG,2020,13.007,Total,BASIC,159.042,125.5,21.0
AFG,2020,13.464,15_24,BASIC,159.042,125.5,21.0
AFG,2020,14.907,25_34,BASIC,159.042,125.5,21.0
AFG,2020,7.646,35_44,BASIC,159.042,125.5,21.0
AFG,2020,7.631,45_54,BASIC,159.042,125.5,21.0
AFG,2020,-1.0,55_64,BASIC,159.042,125.5,21.0
AFG,2020,13.293,Total,INTERMEDATE,118.219,125.5,21.0
AFG,2020,10.293,15_24,INTERMEDATE,118.219,125.5,21.0
AFG,2020,18.757,25_34,INTERMEDATE,118.219,125.5,21.0
AFG,2020,25.994,35_44,INTERMEDATE,118.219,125.5,21.0
AFG,2020,22.701,45_54,INTERMEDATE,118.219,125.5,21.0
AFG,2020,45.382,55_64,INTERMEDATE,118.219,125.5,21.0
AFG,2020,-1.0,65+,INTERMEDATE,118.219,125.5,21.0
AFG,2020,24.591,Total,ADVANCED,159.359,125.5,21.0
AFG,2020,10.503,15_24,ADVANCED,159.359,125.5,21.0
AFG,2020,37.635,25_34,ADVANCED,159.359,125.5,21.0
AFG,2020,56.928,35_44,ADVANCED,159.359,125.5,21.0
AFG,2020,75.398,45_54,ADVANCED,159.359,125.5,21.0
AFG,2020,-1.0,55_64,ADVANCED,159.359,125.5,21.0
AFG,2020,-1.0,65+,ADVANCED,159.359,125.5,21.0
AFG,2014,23.177,Total,EDU_AGGREGATE_TOTAL,96.376,125.5,21.0
AFG,2014,25.528,15_24,EDU_AGGREGATE_TOTAL,96.376,125.5,21.0
AFG,2014,23.438,25_34,EDU_AGGREGATE_TOTAL,96.376,125.5,21.0
AFG,2014,24.795,35_44,EDU_AGGREGATE_TOTAL,96.376,125.5,21.0
AFG,2014,23.498,45_54,EDU_AGGREGATE_TOTAL,96.376,125.5,21.0
AFG,2014,14.229,55_64,EDU_AGGREGATE_TOTAL,96.376,125.5,21.0
AFG,2014,4.65,65+,EDU_AGGREGATE_TOTAL,96.376,125.5,21.0
AFG,2014,23.091,Total,LESS_THAN_BASIC,51.175,125.5,21.0
AFG,2014,27.606,15_24,LESS_THAN_BASIC,51.175,125.5,21.0
AFG,2014,22.856,25_34,LESS_THAN_BASIC,51.175,125.5,21.0
AFG,2014,23.937,35_44,LESS_THAN_BASIC,51.175,125.5,21.0
AFG,2014,22.733,45_54,LESS_THAN_BASIC,51.175,125.5,21.0
AFG,2014,13.915,55_64,LESS_THAN_BASIC,51.175,125.5,21.0
AFG,2014,4.688,65+,LESS_THAN_BASIC,51.175,125.5,21.0
AFG,2014,21.013,Total,BASIC,44.446,125.5,21.0
AFG,2014,21.574,15_24,BASIC,44.446,125.5,21.0
AFG,2014,14.708,25_34,BASIC,44.446,125.5,21.0
AFG,2014,23.55,35_44,BASIC,44.446,125.5,21.0
AFG,2014,17.481,45_54,BASIC,44.446,125.5,21.0
AFG,2014,-1.0,55_64,BASIC,44.446,125.5,21.0
AFG,2014,0.0,65+,BASIC,44.446,125.5,21.0
AFG,2014,25.224,Total,INTERMEDATE,129.188,125.5,21.0
AFG,2014,16.71,15_24,INTERMEDATE,129.188,125.5,21.0
AFG,2014,36.784,25_34,INTERMEDATE,129.188,125.5,21.0
AFG,2014,47.324,35_44,INTERMEDATE,129.188,125.5,21.0
AFG,2014,65.996,45_54,INTERMEDATE,129.188,125.5,21.0
AFG,2014,55.422,55_64,INTERMEDATE,129.188,125.5,21.0
AFG,2014,0.0,65+,INTERMEDATE,129.188,125.5,21.0
AFG,2014,61.042,Total,ADVANCED,231.886,125.5,21.0
AFG,2014,49.704,15_24,ADVANCED,231.886,125.5,21.0
AFG,2014,55.056,25_34,ADVANCED,231.886,125.5,21.0
AFG,2014,83.251,35_44,ADVANCED,231.886,125.5,21.0
AFG,2014,66.928,45_54,ADVANCED,231.886,125.5,21.0
AFG,2014,-1.0,55_64,ADVANCED,231.886,125.5,21.0
AFG,2014,0.0,65+,ADVANCED,231.886,125.5,21.0
AFG,2014,22.718,Total,EDU_AGGREGATE_X,93.564,125.5,21.0
AFG,2014,24.303,15_24,EDU_AGGREGATE_X,93.564,125.5,21.0
AFG,2014,15.809,25_34,EDU_AGGREGATE_X,93.564,125.5,21.0
AFG,2014,32.673,35_44,EDU_AGGREGATE_X,93.564,125.5,21.0
AFG,2014,0.0,45_54,EDU_AGGREGATE_X,93.564,125.5,21.0
AFG,2014,-1.0,55_64,EDU_AGGREGATE_X,93.564,125.5,21.0
AFG,2014,-1.0,65+,EDU_AGGREGATE_X,93.564,125.5,21.0
AGO,2021,62.932,Total,EDU_AGGREGATE_TOTAL,110.062,151.49,60.61
AGO,2021,38.908,15_24,EDU_AGGREGATE_TOTAL,110.062,151.49,60.61
AGO,2021,69.996,25_34,EDU_AGGREGATE_TOTAL,110.062,151.49,60.61
AGO,2021,83.269,35_44,EDU_AGGREGATE_TOTAL,110.062,151.49,60.61
AGO,2021,84.492,45_54,EDU_AGGREGATE_TOTAL,110.062,151.49,60.61
AGO,2021,79.38,55_64,EDU_AGGREGATE_TOTAL,110.062,151.49,60.61
AGO,2021,54.114,65+,EDU_AGGREGATE_TOTAL,110.062,151.49,60.61
AGO,2021,79.837,Total,LESS_THAN_BASIC,30.971,151.49,60.61
AGO,2021,69.961,15_24,LESS_THAN_BASIC,30.971,151.49,60.61
AGO,2021,84.969,25_34,LESS_THAN_BASIC,30.971,151.49,60.61
AGO,2021,89.829,35_44,LESS_THAN_BASIC,30.971,151.49,60.61
AGO,2021,89.877,45_54,LESS_THAN_BASIC,30.971,151.49,60.61
AGO,2021,83.731,55_64,LESS_THAN_BASIC,30.971,151.49,60.61
AGO,2021,57.459,65+,LESS_THAN_BASIC,30.971,151.49,60.61
AGO,2021,72.46,Total,BASIC,61.086,151.49,60.61
AGO,2021,59.626,15_24,BASIC,61.086,151.49,60.61
AGO,2021,73.002,25_34,BASIC,61.086,151.49,60.61
AGO,2021,81.766,35_44,BASIC,61.086,151.49,60.61
AGO,2021,81.424,45_54,BASIC,61.086,151.49,60.61
AGO,2021,79.39,55_64,BASIC,61.086,151.49,60.61
AGO,2021,44.993,65+,BASIC,61.086,151.49,60.61
AGO,2021,52.586,Total,INTERMEDATE,115.942,151.49,60.61
AGO,2021,28.894,15_24,INTERMEDATE,115.942,151.49,60.61
AGO,2021,55.943,25_34,INTERMEDATE,115.942,151.49,60.61
AGO,2021,70.273,35_44,INTERMEDATE,115.942,151.49,60.61
AGO,2021,75.949,45_54,INTERMEDATE,115.942,151.49,60.61
AGO,2021,46.672,55_64,INTERMEDATE,115.942,151.49,60.61
AGO,2021,-1.0,65+,INTERMEDATE,115.942,151.49,60.61
AGO,2021,71.214,Total,ADVANCED,266.746,151.49,60.61
AGO,2021,-1.0,15_24,ADVANCED,266.746,151.49,60.61
AGO,2021,70.26,25_34,ADVANCED,266.746,151.49,60.61
AGO,2021,87.488,35_44,ADVANCED,266.746,151.49,60.61
