country,level_education,year,ratio_employment_to_population
AFG,TOTAL,2021,22.014
AFG,LESS_THAN_BASIC,2021,22.936
AFG,BASIC,2021,16.881
AFG,INTERMEDATE,2021,16.159
AFG,ADVANCED,2021,26.144
AFG,NOT_STATED,2021,44.548
AFG,TOTAL,2020,13.73
AFG,LESS_THAN_BASIC,2020,13.657
AFG,BASIC,2020,13.007
AFG,INTERMEDATE,2020,13.293
AFG,ADVANCED,2020,24.591
AFG,NOT_STATED,2020,10.501
AFG,TOTAL,2017,18.202
AFG,LESS_THAN_BASIC,2017,19.326
AFG,BASIC,2017,13.038
AFG,INTERMEDATE,2017,10.686
AFG,ADVANCED,2017,33.812
AFG,NOT_STATED,2017,2.103
AFG,TOTAL,2014,23.177
AFG,LESS_THAN_BASIC,2014,23.091
AFG,BASIC,2014,21.013
AFG,INTERMEDATE,2014,25.224
AFG,ADVANCED,2014,61.042
AFG,NOT_STATED,2014,22.718
AGO,TOTAL,2021,62.932
AGO,LESS_THAN_BASIC,2021,79.837
AGO,BASIC,2021,72.46
AGO,INTERMEDATE,2021,52.586
AGO,ADVANCED,2021,71.214
AGO,NOT_STATED,2021,21.044
AGO,TOTAL,2019,60.942
AGO,LESS_THAN_BASIC,2019,76.163
AGO,BASIC,2019,63.158
AGO,INTERMEDATE,2019,47.697
AGO,ADVANCED,2019,64.915
AGO,NOT_STATED,2019,24.618
AGO,TOTAL,2014,33.651
AGO,LESS_THAN_BASIC,2014,39.954
AGO,BASIC,2014,23.211
AGO,INTERMEDATE,2014,36.599
AGO,ADVANCED,2014,55.48
AGO,NOT_STATED,2014,-1.0
AGO,TOTAL,2011,69.134
AGO,LESS_THAN_BASIC,2011,79.634
AGO,BASIC,2011,48.446
AGO,INTERMEDATE,2011,59.212
AGO,ADVANCED,2011,69.843
AGO,TOTAL,2009,59.205
AGO,LESS_THAN_BASIC,2009,63.77
AGO,BASIC,2009,42.254
AGO,INTERMEDATE,2009,63.484
AGO,ADVANCED,2009,48.773
AGO,NOT_STATED,2009,46.344
AGO,TOTAL,2004,46.3
AGO,LESS_THAN_BASIC,2004,50.489
AGO,BASIC,2004,36.369
AGO,INTERMEDATE,2004,64.118
AGO,ADVANCED,2004,62.733
AGO,NOT_STATED,2004,47.827
ALB,TOTAL,2021,46.344
ALB,LESS_THAN_BASIC,2021,11.476
ALB,BASIC,2021,42.724
ALB,INTERMEDATE,2021,42.173
ALB,ADVANCED,2021,65.351
ALB,TOTAL,2019,46.891
ALB,LESS_THAN_BASIC,2019,10.048
ALB,BASIC,2019,44.617
ALB,INTERMEDATE,2019,42.107
ALB,ADVANCED,2019,65.354
ALB,TOTAL,2018,45.223
ALB,LESS_THAN_BASIC,2018,11.545
ALB,BASIC,2018,43.386
ALB,INTERMEDATE,2018,42.391
ALB,ADVANCED,2018,60.219
ALB,TOTAL,2017,43.369
ALB,LESS_THAN_BASIC,2017,5.516
ALB,BASIC,2017,40.504
ALB,INTERMEDATE,2017,41.657
ALB,ADVANCED,2017,62.833
ALB,TOTAL,2016,42.536
ALB,LESS_THAN_BASIC,2016,10.112
ALB,BASIC,2016,39.79
ALB,INTERMEDATE,2016,40.807
ALB,ADVANCED,2016,61.935
ALB,TOTAL,2015,38.983
ALB,LESS_THAN_BASIC,2015,8.554
ALB,BASIC,2015,37.65
ALB,INTERMEDATE,2015,35.698
ALB,ADVANCED,2015,56.748
ALB,TOTAL,2014,37.157
ALB,LESS_THAN_BASIC,2014,4.63
ALB,BASIC,2014,34.827
ALB,INTERMEDATE,2014,35.376
ALB,ADVANCED,2014,60.88
ALB,TOTAL,2013,38.04
ALB,LESS_THAN_BASIC,2013,8.804
ALB,BASIC,2013,35.161
ALB,INTERMEDATE,2013,37.835
ALB,ADVANCED,2013,61.887
ALB,TOTAL,2012,43.23
ALB,LESS_THAN_BASIC,2012,9.777
ALB,BASIC,2012,42.306
ALB,INTERMEDATE,2012,43.72
ALB,ADVANCED,2012,60.095
ALB,TOTAL,2011,45.271
ALB,LESS_THAN_BASIC,2011,13.723
ALB,BASIC,2011,44.391
ALB,INTERMEDATE,2011,46.048
ALB,ADVANCED,2011,60.41
ALB,TOTAL,2010,39.437
ALB,LESS_THAN_BASIC,2010,6.963
ALB,BASIC,2010,38.174
ALB,INTERMEDATE,2010,38.254
ALB,ADVANCED,2010,67.063
ALB,TOTAL,2009,38.912
ALB,LESS_THAN_BASIC,2009,4.219
ALB,BASIC,2009,37.788
ALB,INTERMEDATE,2009,38.122
ALB,ADVANCED,2009,68.203
ALB,TOTAL,2008,39.392
ALB,LESS_THAN_BASIC,2008,3.163
ALB,BASIC,2008,37.788
ALB,INTERMEDATE,2008,41.677
ALB,ADVANCED,2008,70.02
ALB,TOTAL,2007,30.693
ALB,LESS_THAN_BASIC,2007,2.657
ALB,BASIC,2007,27.899
ALB,INTERMEDATE,2007,34.632
ALB,ADVANCED,2007,69.159
ALB,TOTAL,2005,39.608
ALB,LESS_THAN_BASIC,2005,43.517
ALB,BASIC,2005,9.659
ALB,INTERMEDATE,2005,46.277
ALB,ADVANCED,2005,57.374
ALB,NOT_STATED,2005,4.592
ALB,TOTAL,2002,43.666
ALB,LESS_THAN_BASIC,2002,32.73
ALB,BASIC,2002,51.283
ALB,INTERMEDATE,2002,47.808
ALB,ADVANCED,2002,65.439
ALB,NOT_STATED,2002,8.442
ARE,TOTAL,2023,52.153
ARE,LESS_THAN_BASIC,2023,70.542
ARE,BASIC,2023,44.184
ARE,INTERMEDATE,2023,43.363
ARE,ADVANCED,2023,56.732
ARE,NOT_STATED,2023,0.0
ARE,TOTAL,2022,51.407
ARE,LESS_THAN_BASIC,2022,44.921
ARE,BASIC,2022,71.63
ARE,INTERMEDATE,2022,41.892
ARE,ADVANCED,2022,49.88
ARE,NOT_STATED,2022,78.285
ARE,TOTAL,2021,49.316
ARE,LESS_THAN_BASIC,2021,62.142
ARE,BASIC,2021,52.839
ARE,INTERMEDATE,2021,36.149
ARE,ADVANCED,2021,51.941
ARE,NOT_STATED,2021,-1.0
ARE,TOTAL,2018,49.614
ARE,LESS_THAN_BASIC,2018,68.04
ARE,BASIC,2018,50.07
ARE,INTERMEDATE,2018,40.187
ARE,ADVANCED,2018,47.647
ARE,TOTAL,2017,49.054
ARE,LESS_THAN_BASIC,2017,69.112
ARE,BASIC,2017,44.193
ARE,INTERMEDATE,2017,35.336
ARE,ADVANCED,2017,51.095
ARE,NOT_STATED,2017,99.202
ARG,TOTAL,2023,49.56
ARG,LESS_THAN_BASIC,2023,23.336
ARG,BASIC,2023,32.907
ARG,INTERMEDATE,2023,53.435
ARG,ADVANCED,2023,73.786
ARG,NOT_STATED,2023,6.594
ARG,TOTAL,2022,48.09
ARG,LESS_THAN_BASIC,2022,23.445
ARG,BASIC,2022,32.442
ARG,INTERMEDATE,2022,51.122
ARG,ADVANCED,2022,73.06
ARG,NOT_STATED,2022,2.857
ARG,TOTAL,2021,45.52
ARG,LESS_THAN_BASIC,2021,19.635
ARG,BASIC,2021,28.779
ARG,INTERMEDATE,2021,48.342
ARG,ADVANCED,2021,72.527
ARG,NOT_STATED,2021,4.498
ARG,TOTAL,2020,41.02
ARG,LESS_THAN_BASIC,2020,19.738
ARG,BASIC,2020,25.903
ARG,INTERMEDATE,2020,43.389
ARG,ADVANCED,2020,69.724
ARG,NOT_STATED,2020,1.125
ARG,TOTAL,2019,44.924
ARG,LESS_THAN_BASIC,2019,21.916
ARG,BASIC,2019,29.639
ARG,INTERMEDATE,2019,48.318
ARG,ADVANCED,2019,72.909
ARG,NOT_STATED,2019,8.227
ARG,TOTAL,2018,44.319
ARG,LESS_THAN_BASIC,2018,21.08
ARG,BASIC,2018,29.36
ARG,INTERMEDATE,2018,48.435
ARG,ADVANCED,2018,72.221
ARG,NOT_STATED,2018,8.346
ARG,TOTAL,2017,43.474
ARG,LESS_THAN_BASIC,2017,20.871
ARG,BASIC,2017,28.791
ARG,INTERMEDATE,2017,48.424
ARG,ADVANCED,2017,71.392
ARG,NOT_STATED,2017,6.609
ARG,TOTAL,2014,43.722
ARG,LESS_THAN_BASIC,2014,23.495
ARG,BASIC,2014,30.263
ARG,INTERMEDATE,2014,47.084
ARG,ADVANCED,2014,75.277
ARG,NOT_STATED,2014,5.369
ARG,TOTAL,2013,43.902
ARG,LESS_THAN_BASIC,2013,20.659
ARG,BASIC,2013,30.059
ARG,INTERMEDATE,2013,48.602
ARG,ADVANCED,2013,74.8
ARG,NOT_STATED,2013,17.644
ARG,TOTAL,2012,44.13
ARG,LESS_THAN_BASIC,2012,24.77
ARG,BASIC,2012,30.64
ARG,INTERMEDATE,2012,47.788
ARG,ADVANCED,2012,75.567
ARG,NOT_STATED,2012,18.724
ARG,TOTAL,2011,44.146
ARG,LESS_THAN_BASIC,2011,23.777
ARG,BASIC,2011,31.329
ARG,INTERMEDATE,2011,47.971
ARG,ADVANCED,2011,76.104
ARG,NOT_STATED,2011,18.544
ARG,TOTAL,2010,43.643
ARG,LESS_THAN_BASIC,2010,21.829
ARG,BASIC,2010,31.084
ARG,INTERMEDATE,2010,47.475
ARG,ADVANCED,2010,77.046
ARG,NOT_STATED,2010,13.641
ARG,TOTAL,2009,44.301
ARG,LESS_THAN_BASIC,2009,24.25
ARG,BASIC,2009,31.575
ARG,INTERMEDATE,2009,49.327
ARG,ADVANCED,2009,76.824
ARG,NOT_STATED,2009,11.543
ARG,TOTAL,2008,43.735
ARG,LESS_THAN_BASIC,2008,23.07
ARG,BASIC,2008,31.818
ARG,INTERMEDATE,2008,48.833
ARG,ADVANCED,2008,76.235
ARG,NOT_STATED,2008,14.073
ARG,TOTAL,2006,43.921
ARG,LESS_THAN_BASIC,2006,27.878
ARG,BASIC,2006,33.105
ARG,INTERMEDATE,2006,47.767
ARG,ADVANCED,2006,77.97
ARG,NOT_STATED,2006,15.57
ARG,TOTAL,2005,42.786
ARG,LESS_THAN_BASIC,2005,28.234
ARG,BASIC,2005,32.941
