,Unnamed: 0,country,job_category,year,number_worker,most_popular_job_cat,worker_percentage
0,0,AFG,Total,2021,1829046,Agriculture,100
1,1,AFG,Agriculture,2021,1280255,Agriculture,70.00
2,2,AFG,Manufacturing,2021,293039,Agriculture,16.02
3,3,AFG,Construction,2021,12618,Agriculture,0.69
4,4,AFG,Mining_and_quarrying,2021,-1,Agriculture,-0.00
5,5,AFG,Market_services,2021,18656,Agriculture,1.02
6,6,AFG,Non_market_services,2021,89416,Agriculture,4.89
7,7,AFG,Non_classified,2021,135062,Agriculture,7.38
55,55,AFG,Total,2020,1140725,Agriculture,100
56,56,AFG,Agriculture,2020,598464,Agriculture,52.46
57,57,AFG,Manufacturing,2020,283231,Agriculture,24.83
58,58,AFG,Construction,2020,7835,Agriculture,0.69
59,59,AFG,Mining_and_quarrying,2020,-1,Agriculture,-0.00
60,60,AFG,Market_services,2020,14631,Agriculture,1.28
61,61,AFG,Non_market_services,2020,205067,Agriculture,17.98
62,62,AFG,Non_classified,2020,31030,Agriculture,2.72
108,108,AFG,Total,2017,1378224,Agriculture,100
109,109,AFG,Agriculture,2017,903558,Agriculture,65.56
110,110,AFG,Manufacturing,2017,314740,Agriculture,22.84
111,111,AFG,Construction,2017,4498,Agriculture,0.33
112,112,AFG,Mining_and_quarrying,2017,-1,Agriculture,-0.00
113,113,AFG,Market_services,2017,15413,Agriculture,1.12
114,114,AFG,Non_market_services,2017,117914,Agriculture,8.56
115,115,AFG,Non_classified,2017,21995,Agriculture,1.60
164,164,AFG,Total,2014,1684229,Agriculture,100
165,165,AFG,Agriculture,2014,953930,Agriculture,56.64
166,166,AFG,Manufacturing,2014,349881,Agriculture,20.77
167,167,AFG,Construction,2014,13986,Agriculture,0.83
168,168,AFG,Mining_and_quarrying,2014,-1,Agriculture,-0.00
169,169,AFG,Market_services,2014,15324,Agriculture,0.91
170,170,AFG,Non_market_services,2014,105444,Agriculture,6.26
171,171,AFG,Non_classified,2014,245664,Agriculture,14.59
220,220,AFG,Total,2012,1061452,Agriculture,100
221,221,AFG,Agriculture,2012,565217,Agriculture,53.25
222,222,AFG,Manufacturing,2012,241834,Agriculture,22.78
223,223,AFG,Construction,2012,3495,Agriculture,0.33
224,224,AFG,Market_services,2012,6693,Agriculture,0.63
225,225,AFG,Non_market_services,2012,229201,Agriculture,21.59
226,226,AFG,Non_classified,2012,15012,Agriculture,1.41
269,269,AFG,Total,2008,2551157,Agriculture,100
270,270,AFG,Agriculture,2008,1950196,Agriculture,76.44
271,271,AFG,Manufacturing,2008,239342,Agriculture,9.38
272,272,AFG,Construction,2008,4934,Agriculture,0.19
273,273,AFG,Mining_and_quarrying,2008,1517,Agriculture,0.06
274,274,AFG,Market_services,2008,78828,Agriculture,3.09
275,275,AFG,Non_market_services,2008,265098,Agriculture,10.39
276,276,AFG,Non_classified,2008,11242,Agriculture,0.44
324,324,AGO,Total,2021,5660669,Agriculture,100
325,325,AGO,Agriculture,2021,3417641,Agriculture,60.38
326,326,AGO,Manufacturing,2021,42937,Agriculture,0.76
327,327,AGO,Construction,2021,-1,Agriculture,-0.00
328,328,AGO,Mining_and_quarrying,2021,5880,Agriculture,0.10
329,329,AGO,Market_services,2021,1540359,Agriculture,27.21
330,330,AGO,Non_market_services,2021,560171,Agriculture,9.90
331,331,AGO,Non_classified,2021,93485,Agriculture,1.65
379,379,AGO,Total,2019,5183558,Agriculture,100
380,380,AGO,Agriculture,2019,2992076,Agriculture,57.72
381,381,AGO,Manufacturing,2019,72802,Agriculture,1.40
382,382,AGO,Construction,2019,15168,Agriculture,0.29
383,383,AGO,Mining_and_quarrying,2019,8904,Agriculture,0.17
384,384,AGO,Market_services,2019,1354292,Agriculture,26.13
385,385,AGO,Non_market_services,2019,582962,Agriculture,11.25
386,386,AGO,Non_classified,2019,157354,Agriculture,3.04
434,434,AGO,Total,2014,2374555,Agriculture,100
435,435,AGO,Agriculture,2014,1301764,Agriculture,54.82
436,436,AGO,Manufacturing,2014,9655,Agriculture,0.41
437,437,AGO,Construction,2014,12665,Agriculture,0.53
438,438,AGO,Mining_and_quarrying,2014,6218,Agriculture,0.26
439,439,AGO,Market_services,2014,277538,Agriculture,11.69
440,440,AGO,Non_market_services,2014,247489,Agriculture,10.42
441,441,AGO,Non_classified,2014,519225,Agriculture,21.87
490,490,AGO,Total,2011,3427531,Agriculture,100
491,491,AGO,Agriculture,2011,1986555,Agriculture,57.96
492,492,AGO,Manufacturing,2011,15348,Agriculture,0.45
493,493,AGO,Construction,2011,14778,Agriculture,0.43
494,494,AGO,Mining_and_quarrying,2011,8713,Agriculture,0.25
495,495,AGO,Market_services,2011,950450,Agriculture,27.73
496,496,AGO,Non_market_services,2011,451685,Agriculture,13.18
539,539,AGO,Total,2009,2708255,Agriculture,100
540,540,AGO,Agriculture,2009,1431617,Agriculture,52.86
541,541,AGO,Manufacturing,2009,18201,Agriculture,0.67
542,542,AGO,Construction,2009,9599,Agriculture,0.35
543,543,AGO,Mining_and_quarrying,2009,5707,Agriculture,0.21
544,544,AGO,Market_services,2009,844023,Agriculture,31.16
545,545,AGO,Non_market_services,2009,363140,Agriculture,13.41
546,546,AGO,Non_classified,2009,35969,Agriculture,1.33
595,595,AGO,Total,2004,2093811,Agriculture,100
596,596,AGO,Agriculture,2004,933860,Agriculture,44.60
597,597,AGO,Manufacturing,2004,16684,Agriculture,0.80
598,598,AGO,Construction,2004,16021,Agriculture,0.77
599,599,AGO,Mining_and_quarrying,2004,3589,Agriculture,0.17
600,600,AGO,Market_services,2004,754251,Agriculture,36.02
601,601,AGO,Non_market_services,2004,369405,Agriculture,17.64
602,602,AGO,Non_classified,2004,-1,Agriculture,-0.00
643,643,ALB,Total,2021,555018,Agriculture,100
644,644,ALB,Agriculture,2021,221927,Agriculture,39.99
645,645,ALB,Manufacturing,2021,74838,Agriculture,13.48
646,646,ALB,Construction,2021,2517,Agriculture,0.45
647,647,ALB,Mining_and_quarrying,2021,4842,Agriculture,0.87
648,648,ALB,Market_services,2021,123575,Agriculture,22.27
649,649,ALB,Non_market_services,2021,127319,Agriculture,22.94
692,692,ALB,Total,2019,562476,Agriculture,100
693,693,ALB,Agriculture,2019,233792,Agriculture,41.56
694,694,ALB,Manufacturing,2019,83072,Agriculture,14.77
695,695,ALB,Construction,2019,3428,Agriculture,0.61
696,696,ALB,Mining_and_quarrying,2019,4481,Agriculture,0.80
697,697,ALB,Market_services,2019,121396,Agriculture,21.58
698,698,ALB,Non_market_services,2019,116307,Agriculture,20.68
741,741,ALB,Total,2018,539522,Agriculture,100
