country,year,average_salary_per_month
AFG,2020,141.164
AFG,2014,96.376
AGO,2021,110.062
AGO,2019,161.155
ALB,2012,2958.607
ALB,2008,2877.566
ALB,2005,2024.379
ALB,2002,113.367
ARG,2023,551.941
ARG,2022,539.614
ARG,2021,460.645
ARG,2020,445.541
ARG,2019,454.052
ARG,2018,554.543
ARG,2017,740.121
ARG,2014,674.418
ARG,2013,769.035
ARG,2012,728.451
ARG,2011,643.242
ARM,2021,206.674
ARM,2020,196.068
ARM,2019,192.503
ARM,2017,174.893
ARM,2016,165.543
ARM,2015,166.444
ARM,2014,179.492
ARM,2013,171.612
ARM,2012,172.05
ARM,2011,172.598
ARM,2010,159.881
ARM,2007,123.481
AUS,2021,3714.76
AUS,2020,3209.089
AUS,2019,3177.137
AUS,2018,3268.242
AUS,2017,3175.854
AUS,2016,2995.427
AUS,2015,2873.776
AUS,2014,3354.691
AUS,2013,3465.937
AUS,2012,3680.184
AUS,2011,3595.306
AUS,2010,3088.915
AUS,2009,2469.302
AUS,2008,2566.333
AUS,2007,2419.397
AUS,2006,2065.714
AUS,2005,1948.08
AUS,2004,1731.064
AUS,2003,1521.527
AUS,2002,1229.605
AUS,2001,1206.748
AUT,2022,3586.268
AUT,2021,4145.392
AUT,2020,3844.428
AUT,2019,3492.873
AUT,2018,3508.222
AUT,2017,3316.537
AUT,2016,3235.795
AUT,2015,3100.19
AUT,2014,3868.171
AUT,2013,3641.087
AUT,2012,3426.251
AUT,2011,3643.307
AUT,2010,3498.788
AUT,2009,3500.324
AUT,2008,3565.452
AUT,2007,2979.918
AUT,2006,2213.559
AUT,2005,2185.914
AUT,2004,2083.085
BDI,2020,199.649
BDI,2014,49.259
BEL,2022,5042.246
BEL,2021,5341.297
BEL,2020,4973.716
BEL,2019,4730.834
BEL,2018,4681.776
BEL,2017,4461.112
BEL,2016,4271.892
BEL,2015,4234.72
BEL,2014,5078.658
BEL,2013,4882.267
BEL,2012,4576.281
BEL,2011,4808.858
BEL,2010,4477.903
BEL,2009,4541.135
BEL,2008,4454.755
BEL,2007,4147.413
BEL,2006,2825.769
BEL,2005,2708.032
BEL,2004,2682.112
BEN,2022,92.513
BEN,2019,88.572
BEN,2011,139.647
BFA,2023,108.562
BFA,2022,103.129
BFA,2019,148.141
BFA,2018,149.87
BGD,2017,137.483
BGD,2013,140.239
BGR,2022,913.577
BGR,2021,900.585
BGR,2020,792.618
BGR,2019,721.354
BGR,2018,622.762
BGR,2017,600.615
BGR,2016,562.688
BGR,2015,484.214
BGR,2014,520.479
BGR,2013,490.236
BGR,2012,514.077
BGR,2011,439.722
BGR,2010,458.57
BGR,2009,473.547
BGR,2008,380.096
BGR,2007,299.6
BHS,2023,5822.117
BHS,2019,4267.944
BIH,2023,762.232
BIH,2022,671.248
BIH,2021,713.988
BIH,2020,648.084
BIH,2016,385.564
BIH,2015,387.348
BIH,2014,469.115
BIH,2013,455.654
BIH,2012,431.609
BIH,2011,468.003
BIH,2010,443.534
BIH,2009,437.97
BIH,2008,425.149
BIH,2007,343.353
BIH,2006,279.226
BLZ,2019,632.534
BLZ,2017,584.418
BLZ,2016,565.959
BLZ,2015,591.155
BLZ,2014,681.644
BOL,2023,400.447
BOL,2022,394.057
BOL,2021,392.241
BOL,2020,447.742
BOL,2019,389.932
BOL,2018,388.931
BOL,2017,376.564
BOL,2016,363.972
BOL,2015,356.493
BOL,2014,323.232
BOL,2013,303.695
BOL,2012,269.261
BOL,2011,236.273
BOL,2009,188.519
BOL,2008,181.459
BOL,2007,149.066
BOL,2006,131.683
BOL,2005,121.128
BOL,2004,119.846
BOL,2002,137.944
BOL,2001,151.327
BOL,2000,169.734
BRA,2023,515.382
BRA,2022,455.114
BRA,2021,406.062
BRA,2020,427.384
BRA,2019,509.662
BRA,2018,518.43
BRA,2017,565.466
BRA,2016,489.478
BRA,2015,451.618
BRA,2014,580.993
BRA,2013,573.48
BRA,2012,589.196
BRA,2011,619.792
BRA,2009,404.137
BRA,2008,417.141
BRA,2007,359.695
BRA,2006,296.229
BRA,2005,241.769
BRA,2004,184.479
BRA,2003,163.84
BRA,2002,158.503
BRA,2001,183.593
BRB,2016,1310.782
BRN,2014,1329.613
BTN,2023,265.289
BTN,2022,261.856
BTN,2021,261.476
BTN,2020,239.883
BTN,2019,255.703
BTN,2018,201.432
BWA,2023,447.794
BWA,2022,467.505
BWA,2021,466.766
BWA,2020,406.387
BWA,2019,393.741
CAN,2023,3466.224
CAN,2022,3411.12
CAN,2021,3403.408
CAN,2020,3113.355
CAN,2019,2933.67
CAN,2018,2913.462
CAN,2017,2816.211
CAN,2016,2714.524
CAN,2015,2757.988
CAN,2014,3092.98
CAN,2013,3261.513
CAN,2012,3285.809
CAN,2011,3219.775
CAN,2010,3001.952
CAN,2009,2657.623
CAN,2008,2728.109
CAN,2007,2616.783
CAN,2006,2381.146
CAN,2005,2110.49
CAN,2004,1890.391
CAN,2003,1696.7
CAN,2002,1476.724
CAN,2001,1453.672
CAN,2000,1461.946
CHE,2023,5417.684
CHE,2022,5136.304
CHE,2021,5669.215
CHE,2020,5339.241
CHE,2019,5110.608
CHE,2018,5312.978
CHE,2017,5041.489
CHE,2016,4876.407
CHE,2015,4896.094
CHE,2014,5746.388
CHE,2013,5664.432
CHE,2012,5403.76
CHE,2011,5829.622
CHE,2010,5389.171
CHE,2009,5608.289
CHE,2008,5879.144
CHE,2007,5408.969
CHE,2006,4792.999
CHE,2005,4660.29
CHE,2004,4630.439
CHE,2003,4154.263
CHE,2002,3393.848
CHE,2001,3204.327
CHE,2000,3204.566
CHL,2023,947.552
CHL,2022,786.689
CHL,2021,877.21
CHL,2020,824.144
CHL,2018,825.714
CHL,2017,797.357
CHL,2016,692.136
CHL,2015,677.943
CHL,2014,753.622
CHL,2013,792.571
CHL,2012,774.288
CHL,2011,738.545
CHL,2010,608.719
CHL,2009,568.03
CHL,2006,459.299
CHL,2003,285.642
CHL,2000,341.958
CIV,2022,185.321
CIV,2019,185.0
CIV,2017,158.768
CIV,2013,183.279
CIV,2012,91.743
CMR,2014,172.58
COD,2012,72.087
COD,2005,23.192
COG,2009,220.637
COL,2023,392.155
COL,2022,364.048
COL,2021,338.325
COL,2019,367.756
COL,2018,378.56
COL,2017,357.992
COL,2016,326.187
COL,2015,343.085
COL,2014,456.988
COL,2013,477.712
COL,2012,469.779
COL,2011,438.715
COL,2010,407.269
COL,2009,340.603
COL,2008,384.92
COL,2007,366.199
COL,2005,238.165
COL,2004,190.218
COL,2003,158.454
COL,2002,177.775
COM,2021,204.873
COM,2014,220.569
COM,2004,248.082
CPV,2015,310.652
CRI,2022,912.483
CRI,2021,897.763
CRI,2020,984.628
CRI,2019,900.519
CRI,2018,878.869
CRI,2017,875.123
CRI,2016,866.374
CRI,2015,887.346
CRI,2014,844.981
CRI,2013,900.403
CRI,2012,821.878
CRI,2010,667.402
CRI,2007,409.016
CRI,2006,373.33
CRI,2005,343.385
CRI,2004,357.928
CRI,2003,356.668
CRI,2002,350.725
CRI,2001,1054.961
CYP,2022,2178.296
CYP,2021,2265.923
CYP,2020,2166.03
CYP,2019,1976.243
CYP,2018,2005.978
CYP,2017,2020.672
CYP,2016,1928.039
CYP,2015,1954.608
CYP,2014,2452.788
CYP,2013,2509.939
CYP,2012,2418.915
CYP,2011,2496.389
CYP,2010,2274.782
CYP,2009,2342.228
CYP,2008,2351.607
CYP,2007,2207.65
CYP,2006,1650.214
CYP,2005,1532.61
CZE,2022,1785.375
CZE,2021,1881.692
CZE,2020,1733.075
CZE,2019,1557.743
CZE,2018,1456.292
CZE,2017,1259.401
CZE,2016,1172.947
CZE,2015,1117.25
CZE,2014,1362.318
CZE,2013,1387.937
CZE,2012,1372.366
CZE,2011,1392.355
CZE,2010,1237.599
CZE,2009,1387.206
CZE,2008,1203.914
CZE,2007,1027.512
CZE,2006,613.365
CZE,2005,536.729
DEU,2022,3740.37
DEU,2021,4049.99
DEU,2020,4000.165
DEU,2019,2731.538
DEU,2018,2711.657
DEU,2017,2509.069
DEU,2016,2400.763
DEU,2015,2322.684
DEU,2014,2682.602
DEU,2013,2621.518
DEU,2012,2430.922
DEU,2011,2583.208
DEU,2010,2409.495
DEU,2009,2556.709
DEU,2008,2589.853
DEU,2007,2413.285
DEU,2006,1932.814
DEU,2005,2337.285
DJI,2017,542.608
DNK,2022,5495.351
DNK,2021,6092.924
DNK,2020,5455.614
DNK,2019,4718.138
DNK,2018,4824.173
DNK,2017,4536.434
DNK,2016,4446.836
DNK,2015,4424.098
DNK,2014,5217.935
DNK,2013,5161.001
DNK,2012,4924.247
DNK,2011,5208.481
DNK,2010,4747.344
DNK,2009,5168.821
DNK,2008,5162.799
DNK,2007,4771.683
DNK,2006,3564.706
DNK,2005,3399.561
DNK,2004,3284.445
DOM,2023,423.945
DOM,2022,384.989
DOM,2021,338.597
DOM,2020,321.031
DOM,2019,314.27
DOM,2018,304.968
DOM,2017,294.575
DOM,2016,279.709
DOM,2015,277.714
DOM,2014,297.103
DOM,2013,300.597
DOM,2012,322.296
DOM,2011,297.87
DOM,2010,281.053
DOM,2009,269.008
DOM,2008,251.329
DOM,2007,239.38
DOM,2006,222.227
DOM,2005,227.269
DOM,2004,139.045
DOM,2003,166.321
DOM,2002,255.213
DOM,2001,261.484
DOM,2000,245.96
ECU,2023,523.693
ECU,2022,510.514
ECU,2021,509.594
ECU,2019,524.583
ECU,2018,519.416
ECU,2017,500.608
ECU,2016,495.968
ECU,2015,499.779
ECU,2014,489.576
ECU,2013,452.518
ECU,2012,413.459
ECU,2011,382.186
ECU,2010,342.061
ECU,2009,301.463
ECU,2008,279.42
ECU,2007,264.364
ECU,2006,245.953
ECU,2005,225.162
ECU,2004,215.063
ECU,2003,192.426
ECU,2001,142.223
EGY,2022,153.756
EGY,2021,167.585
EGY,2020,149.137
EGY,2019,128.657
EGY,2018,109.757
EGY,2017,106.438
EGY,2016,173.773
EGY,2015,218.854
EGY,2013,184.024
EGY,2012,220.092
EGY,2011,165.496
EGY,2010,106.814
EGY,2009,14.413
EGY,2008,8.07
ESP,2022,2528.129
ESP,2021,2767.535
ESP,2020,2683.484
ESP,2019,2373.717
ESP,2018,2522.916
ESP,2017,2363.512
ESP,2016,2404.96
ESP,2015,2291.704
ESP,2014,2743.585
ESP,2013,2723.626
ESP,2012,2714.144
ESP,2011,2962.963
ESP,2010,2833.693
ESP,2009,2865.234
ESP,2008,2723.76
ESP,2007,2288.577
ESP,2006,1662.674
EST,2022,2018.456
EST,2021,2180.737
EST,2020,1941.036
EST,2019,1691.023
EST,2018,1700.883
EST,2017,1468.462
EST,2016,1371.633
EST,2015,1350.416
EST,2014,1505.53
EST,2013,1288.581
EST,2012,1179.599
EST,2011,1186.175
EST,2010,1143.004
EST,2009,1173.298
EST,2008,1145.941
EST,2007,890.875
EST,2006,523.088
EST,2005,447.457
EST,2004,420.928
ETH,2021,78.645
ETH,2013,55.808
ETH,2005,27.42
FIN,2022,4370.297
FIN,2021,4571.832
FIN,2020,4290.145
FIN,2019,4082.231
FIN,2018,4307.943
FIN,2017,4187.966
FIN,2016,4073.575
FIN,2015,4032.32
FIN,2014,4692.871
FIN,2013,4418.32
FIN,2012,4152.828
FIN,2011,4367.88
FIN,2010,3987.941
FIN,2009,4001.056
FIN,2008,3893.097
FIN,2007,3572.42
FIN,2006,2491.373
FIN,2005,2395.472
FIN,2004,2348.036
FJI,2016,493.53
FJI,2011,503.148
FJI,2005,346.777
FRA,2022,3565.28
FRA,2021,3808.844
FRA,2020,2033.781
FRA,2019,1947.492
FRA,2018,1992.403
FRA,2017,1874.587
FRA,2016,1799.804
FRA,2015,1785.998
FRA,2014,2127.923
FRA,2013,2092.967
FRA,2012,2012.734
FRA,2011,2145.666
FRA,2010,1992.982
FRA,2009,2060.048
FRA,2008,2122.668
FRA,2007,1933.038
FRA,2006,1721.569
FRA,2005,1649.536
FRA,2004,2107.667
GBR,2023,2636.061
GBR,2022,2392.449
GBR,2021,2483.08
GBR,2020,2379.112
GBR,2018,2184.638
GBR,2017,1993.737
GBR,2016,1898.352
GBR,2015,1864.929
GBR,2014,2177.921
GBR,2013,2147.774
GBR,2012,2025.464
GBR,2011,2141.213
GBR,2010,2010.334
GBR,2009,2073.05
GBR,2008,2145.501
GBR,2007,1924.824
GBR,2006,1683.636
GBR,2005,1605.142
GEO,2022,222.484
GEO,2021,178.788
GEO,2020,175.176
GEO,2019,182.915
GEO,2018,185.867
GEO,2017,183.976
GHA,2022,147.822
GHA,2017,142.865
GHA,2015,191.275
GHA,2013,252.648
GIN,2019,162.84
GMB,2018,77.46
GMB,2012,86.656
GNB,2022,119.898
GNB,2019,121.914
GRC,2022,1793.794
GRC,2021,2083.799
GRC,2020,958.427
GRC,2019,912.583
GRC,2018,974.162
GRC,2017,917.732
GRC,2016,891.568
GRC,2015,886.841
GRC,2014,2273.048
GRC,2013,2180.652
GRC,2012,2211.134
GRC,2011,2574.538
GRC,2010,2528.39
GRC,2009,2536.87
GRC,2008,2554.145
GRC,2007,2373.531
GTM,2023,333.546
GTM,2022,349.0
GTM,2021,361.438
GTM,2019,359.2
GTM,2018,348.16
GTM,2017,356.016
GTM,2016,332.759
GTM,2015,344.171
GTM,2014,323.3
GTM,2013,303.489
GTM,2012,281.836
GTM,2011,249.621
GTM,2010,250.751
GTM,2006,253.7
GTM,2004,193.131
GTM,2003,195.546
GUY,2019,358.333
GUY,2018,329.627
HND,2023,471.84
HND,2022,468.503
HND,2021,1157.457
HND,2019,320.895
HND,2018,306.071
HND,2017,306.466
