country,year,ratio_employment_to_population,age_group_simp,level_education_standardised
AFG,2021,22.014,Total,EDU_AGGREGATE_TOTAL
AFG,2021,22.936,Total,LESS_THAN_BASIC
AFG,2021,16.881,Total,BASIC
AFG,2021,16.159,Total,INTERMEDATE
AFG,2021,26.144,Total,ADVANCED
AFG,2021,44.548,Total,EDU_AGGREGATE_X
AFG,2021,17.946,15_24,EDU_AGGREGATE_TOTAL
AFG,2021,19.288,15_24,LESS_THAN_BASIC
AFG,2021,16.561,15_24,BASIC
AFG,2021,13.162,15_24,INTERMEDATE
AFG,2021,14.952,15_24,ADVANCED
AFG,2021,52.044,15_24,EDU_AGGREGATE_X
AFG,2021,23.529,25_34,EDU_AGGREGATE_TOTAL
AFG,2021,23.725,25_34,LESS_THAN_BASIC
AFG,2021,19.478,25_34,BASIC
AFG,2021,22.338,25_34,INTERMEDATE
AFG,2021,32.034,25_34,ADVANCED
AFG,2021,24.598,25_34,EDU_AGGREGATE_X
AFG,2021,27.47,35_44,EDU_AGGREGATE_TOTAL
AFG,2021,27.017,35_44,LESS_THAN_BASIC
AFG,2021,13.988,35_44,BASIC
AFG,2021,43.2,35_44,INTERMEDATE
AFG,2021,100.0,35_44,ADVANCED
AFG,2021,80.0,35_44,EDU_AGGREGATE_X
AFG,2021,27.365,45_54,EDU_AGGREGATE_TOTAL
AFG,2021,28.052,45_54,LESS_THAN_BASIC
AFG,2021,,45_54,BASIC
AFG,2021,0.0,45_54,INTERMEDATE
AFG,2021,,45_54,EDU_AGGREGATE_X
AFG,2021,21.468,55_64,EDU_AGGREGATE_TOTAL
AFG,2021,20.599,55_64,LESS_THAN_BASIC
AFG,2021,,55_64,BASIC
AFG,2021,,55_64,INTERMEDATE
AFG,2021,,55_64,ADVANCED
AFG,2021,,55_64,EDU_AGGREGATE_X
AFG,2021,11.893,65+,EDU_AGGREGATE_TOTAL
AFG,2021,11.068,65+,LESS_THAN_BASIC
AFG,2021,0.0,65+,BASIC
AFG,2021,,65+,INTERMEDATE
AFG,2021,,65+,ADVANCED
AFG,2021,,65+,EDU_AGGREGATE_X
AFG,2020,13.73,Total,EDU_AGGREGATE_TOTAL
AFG,2020,13.657,Total,LESS_THAN_BASIC
AFG,2020,13.007,Total,BASIC
AFG,2020,13.293,Total,INTERMEDATE
AFG,2020,24.591,Total,ADVANCED
AFG,2020,10.501,Total,EDU_AGGREGATE_X
AFG,2020,13.087,15_24,EDU_AGGREGATE_TOTAL
AFG,2020,14.038,15_24,LESS_THAN_BASIC
AFG,2020,13.464,15_24,BASIC
AFG,2020,10.293,15_24,INTERMEDATE
AFG,2020,10.503,15_24,ADVANCED
AFG,2020,10.434,15_24,EDU_AGGREGATE_X
AFG,2020,15.267,25_34,EDU_AGGREGATE_TOTAL
AFG,2020,14.24,25_34,LESS_THAN_BASIC
AFG,2020,14.907,25_34,BASIC
AFG,2020,18.757,25_34,INTERMEDATE
AFG,2020,37.635,25_34,ADVANCED
AFG,2020,13.172,25_34,EDU_AGGREGATE_X
AFG,2020,16.692,35_44,EDU_AGGREGATE_TOTAL
AFG,2020,16.677,35_44,LESS_THAN_BASIC
AFG,2020,7.646,35_44,BASIC
AFG,2020,25.994,35_44,INTERMEDATE
AFG,2020,56.928,35_44,ADVANCED
AFG,2020,8.871,35_44,EDU_AGGREGATE_X
AFG,2020,13.765,45_54,EDU_AGGREGATE_TOTAL
AFG,2020,13.212,45_54,LESS_THAN_BASIC
AFG,2020,7.631,45_54,BASIC
AFG,2020,22.701,45_54,INTERMEDATE
AFG,2020,75.398,45_54,ADVANCED
AFG,2020,15.774,45_54,EDU_AGGREGATE_X
AFG,2020,9.828,55_64,EDU_AGGREGATE_TOTAL
AFG,2020,9.582,55_64,LESS_THAN_BASIC
AFG,2020,,55_64,BASIC
AFG,2020,45.382,55_64,INTERMEDATE
AFG,2020,,55_64,ADVANCED
AFG,2020,,55_64,EDU_AGGREGATE_X
AFG,2020,3.439,65+,EDU_AGGREGATE_TOTAL
AFG,2020,3.504,65+,LESS_THAN_BASIC
AFG,2020,,65+,INTERMEDATE
AFG,2020,,65+,ADVANCED
AFG,2020,,65+,EDU_AGGREGATE_X
