"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2020",141.164,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2020",160.875,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2020",159.042,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2020",118.219,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2020",159.359,"B",,"T30:110_I11:264","R1:3513"
"AFG","BB:6361","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2014",96.376,,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2014",51.175,,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2014",44.446,,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2014",129.188,,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2014",231.886,,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2014",93.564,"U",,"T30:110","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2021",110.062,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2021",30.971,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2021",61.086,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2021",115.942,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2021",266.746,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2021",135.648,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2019",161.155,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2019",68.862,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2019",87.186,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2019",197.535,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2019",388.214,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2019",194.501,"B",,"T30:2_I11:264","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2012",2958.607,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2012",1865.634,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2012",1712.201,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2012",2173.795,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2012",3711.56,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2008",2877.566,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2008",1900.265,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2008",1931.021,"U",,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2008",2618.587,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2008",3803.212,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2005",2024.379,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2005",1633.466,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2005",1129.526,"U",,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2005",1716.976,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2005",2807.389,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2002",113.367,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2002",77.795,"U",,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2002",84.152,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2002",98.292,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2002",164.82,,,"T30:159","R1:3513"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2023",551.941,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2023",240.91,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2023",280.701,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2023",494.627,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2023",831.808,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2023",304.847,"U",,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2022",539.614,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2022",243.3,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2022",285.815,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2022",470.317,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2022",822.398,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2022",405.764,"U",,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2021",460.645,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2021",172.554,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2021",241.429,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2021",402.299,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2021",674.963,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2021",276.371,"U",,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2020",445.541,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2020",191.5,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2020",235.504,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2020",380.078,,,"T30:61","R1:3513_S4:33"
