,country,level_education,year,ratio_employment_to_population
0,AFG,TOTAL,2021,22.014
1,AFG,LESS_THAN_BASIC,2021,22.936
2,AFG,BASIC,2021,16.881
3,AFG,INTERMEDATE,2021,16.159
4,AFG,ADVANCED,2021,26.144
41,AFG,TOTAL,2020,13.73
42,AFG,LESS_THAN_BASIC,2020,13.657
43,AFG,BASIC,2020,13.007
44,AFG,INTERMEDATE,2020,13.293
45,AFG,ADVANCED,2020,24.591
82,AFG,TOTAL,2017,18.202
83,AFG,LESS_THAN_BASIC,2017,19.326
84,AFG,BASIC,2017,13.038
85,AFG,INTERMEDATE,2017,10.686
86,AFG,ADVANCED,2017,33.812
124,AFG,TOTAL,2014,23.177
125,AFG,LESS_THAN_BASIC,2014,23.091
126,AFG,BASIC,2014,21.013
127,AFG,INTERMEDATE,2014,25.224
128,AFG,ADVANCED,2014,61.042
166,AGO,TOTAL,2021,62.932
167,AGO,LESS_THAN_BASIC,2021,79.837
168,AGO,BASIC,2021,72.46
169,AGO,INTERMEDATE,2021,52.586
170,AGO,ADVANCED,2021,71.214
208,AGO,TOTAL,2019,60.942
209,AGO,LESS_THAN_BASIC,2019,76.163
210,AGO,BASIC,2019,63.158
211,AGO,INTERMEDATE,2019,47.697
212,AGO,ADVANCED,2019,64.915
250,AGO,TOTAL,2014,33.651
251,AGO,LESS_THAN_BASIC,2014,39.954
252,AGO,BASIC,2014,23.211
253,AGO,INTERMEDATE,2014,36.599
254,AGO,ADVANCED,2014,55.48
288,AGO,TOTAL,2011,69.134
289,AGO,LESS_THAN_BASIC,2011,79.634
290,AGO,BASIC,2011,48.446
291,AGO,INTERMEDATE,2011,59.212
292,AGO,ADVANCED,2011,69.843
323,AGO,TOTAL,2009,59.205
324,AGO,LESS_THAN_BASIC,2009,63.77
325,AGO,BASIC,2009,42.254
326,AGO,INTERMEDATE,2009,63.484
327,AGO,ADVANCED,2009,48.773
364,AGO,TOTAL,2004,46.3
365,AGO,LESS_THAN_BASIC,2004,50.489
366,AGO,BASIC,2004,36.369
367,AGO,INTERMEDATE,2004,64.118
368,AGO,ADVANCED,2004,62.733
406,ALB,TOTAL,2021,46.344
407,ALB,LESS_THAN_BASIC,2021,11.476
408,ALB,BASIC,2021,42.724
409,ALB,INTERMEDATE,2021,42.173
410,ALB,ADVANCED,2021,65.351
441,ALB,TOTAL,2019,46.891
442,ALB,LESS_THAN_BASIC,2019,10.048
443,ALB,BASIC,2019,44.617
444,ALB,INTERMEDATE,2019,42.107
445,ALB,ADVANCED,2019,65.354
476,ALB,TOTAL,2018,45.223
477,ALB,LESS_THAN_BASIC,2018,11.545
478,ALB,BASIC,2018,43.386
479,ALB,INTERMEDATE,2018,42.391
480,ALB,ADVANCED,2018,60.219
511,ALB,TOTAL,2017,43.369
512,ALB,LESS_THAN_BASIC,2017,5.516
513,ALB,BASIC,2017,40.504
514,ALB,INTERMEDATE,2017,41.657
515,ALB,ADVANCED,2017,62.833
546,ALB,TOTAL,2016,42.536
547,ALB,LESS_THAN_BASIC,2016,10.112
548,ALB,BASIC,2016,39.79
549,ALB,INTERMEDATE,2016,40.807
550,ALB,ADVANCED,2016,61.935
581,ALB,TOTAL,2015,38.983
582,ALB,LESS_THAN_BASIC,2015,8.554
583,ALB,BASIC,2015,37.65
584,ALB,INTERMEDATE,2015,35.698
585,ALB,ADVANCED,2015,56.748
616,ALB,TOTAL,2014,37.157
617,ALB,LESS_THAN_BASIC,2014,4.63
618,ALB,BASIC,2014,34.827
619,ALB,INTERMEDATE,2014,35.376
620,ALB,ADVANCED,2014,60.88
651,ALB,TOTAL,2013,38.04
652,ALB,LESS_THAN_BASIC,2013,8.804
653,ALB,BASIC,2013,35.161
654,ALB,INTERMEDATE,2013,37.835
655,ALB,ADVANCED,2013,61.887
686,ALB,TOTAL,2012,43.23
687,ALB,LESS_THAN_BASIC,2012,9.777
688,ALB,BASIC,2012,42.306
689,ALB,INTERMEDATE,2012,43.72
690,ALB,ADVANCED,2012,60.095
721,ALB,TOTAL,2011,45.271
722,ALB,LESS_THAN_BASIC,2011,13.723
723,ALB,BASIC,2011,44.391
724,ALB,INTERMEDATE,2011,46.048
725,ALB,ADVANCED,2011,60.41
756,ALB,TOTAL,2010,39.437
757,ALB,LESS_THAN_BASIC,2010,6.963
758,ALB,BASIC,2010,38.174
759,ALB,INTERMEDATE,2010,38.254
760,ALB,ADVANCED,2010,67.063
791,ALB,TOTAL,2009,38.912
792,ALB,LESS_THAN_BASIC,2009,4.219
793,ALB,BASIC,2009,37.788
794,ALB,INTERMEDATE,2009,38.122
795,ALB,ADVANCED,2009,68.203
826,ALB,TOTAL,2008,39.392
827,ALB,LESS_THAN_BASIC,2008,3.163
828,ALB,BASIC,2008,37.788
829,ALB,INTERMEDATE,2008,41.677
830,ALB,ADVANCED,2008,70.02
861,ALB,TOTAL,2007,30.693
862,ALB,LESS_THAN_BASIC,2007,2.657
863,ALB,BASIC,2007,27.899
864,ALB,INTERMEDATE,2007,34.632
865,ALB,ADVANCED,2007,69.159
896,ALB,TOTAL,2005,39.608
897,ALB,LESS_THAN_BASIC,2005,43.517
898,ALB,BASIC,2005,9.659
899,ALB,INTERMEDATE,2005,46.277
900,ALB,ADVANCED,2005,57.374
937,ALB,TOTAL,2002,43.666
938,ALB,LESS_THAN_BASIC,2002,32.73
939,ALB,BASIC,2002,51.283
940,ALB,INTERMEDATE,2002,47.808
941,ALB,ADVANCED,2002,65.439
979,ARE,TOTAL,2023,52.153
980,ARE,LESS_THAN_BASIC,2023,70.542
981,ARE,BASIC,2023,44.184
982,ARE,INTERMEDATE,2023,43.363
983,ARE,ADVANCED,2023,56.732
1018,ARE,TOTAL,2022,51.407
1019,ARE,LESS_THAN_BASIC,2022,44.921
1020,ARE,BASIC,2022,71.63
1021,ARE,INTERMEDATE,2022,41.892
1022,ARE,ADVANCED,2022,49.88
1060,ARE,TOTAL,2021,49.316
1061,ARE,LESS_THAN_BASIC,2021,62.142
1062,ARE,BASIC,2021,52.839
1063,ARE,INTERMEDATE,2021,36.149
1064,ARE,ADVANCED,2021,51.941
1098,ARE,TOTAL,2018,49.614
1099,ARE,LESS_THAN_BASIC,2018,68.04
1100,ARE,BASIC,2018,50.07
1101,ARE,INTERMEDATE,2018,40.187
1102,ARE,ADVANCED,2018,47.647
1133,ARE,TOTAL,2017,49.054
1134,ARE,LESS_THAN_BASIC,2017,69.112
1135,ARE,BASIC,2017,44.193
1136,ARE,INTERMEDATE,2017,35.336
1137,ARE,ADVANCED,2017,51.095
1174,ARG,TOTAL,2023,49.56
1175,ARG,LESS_THAN_BASIC,2023,23.336
1176,ARG,BASIC,2023,32.907
1177,ARG,INTERMEDATE,2023,53.435
1178,ARG,ADVANCED,2023,73.786
1216,ARG,TOTAL,2022,48.09
1217,ARG,LESS_THAN_BASIC,2022,23.445
1218,ARG,BASIC,2022,32.442
1219,ARG,INTERMEDATE,2022,51.122
1220,ARG,ADVANCED,2022,73.06
1258,ARG,TOTAL,2021,45.52
1259,ARG,LESS_THAN_BASIC,2021,19.635
1260,ARG,BASIC,2021,28.779
1261,ARG,INTERMEDATE,2021,48.342
1262,ARG,ADVANCED,2021,72.527
1300,ARG,TOTAL,2020,41.02
1301,ARG,LESS_THAN_BASIC,2020,19.738
1302,ARG,BASIC,2020,25.903
1303,ARG,INTERMEDATE,2020,43.389
1304,ARG,ADVANCED,2020,69.724
1341,ARG,TOTAL,2019,44.924
1342,ARG,LESS_THAN_BASIC,2019,21.916
1343,ARG,BASIC,2019,29.639
1344,ARG,INTERMEDATE,2019,48.318
1345,ARG,ADVANCED,2019,72.909
1383,ARG,TOTAL,2018,44.319
1384,ARG,LESS_THAN_BASIC,2018,21.08
1385,ARG,BASIC,2018,29.36
1386,ARG,INTERMEDATE,2018,48.435
1387,ARG,ADVANCED,2018,72.221
1425,ARG,TOTAL,2017,43.474
1426,ARG,LESS_THAN_BASIC,2017,20.871
1427,ARG,BASIC,2017,28.791
1428,ARG,INTERMEDATE,2017,48.424
1429,ARG,ADVANCED,2017,71.392
1467,ARG,TOTAL,2014,43.722
1468,ARG,LESS_THAN_BASIC,2014,23.495
1469,ARG,BASIC,2014,30.263
1470,ARG,INTERMEDATE,2014,47.084
1471,ARG,ADVANCED,2014,75.277
1509,ARG,TOTAL,2013,43.902
1510,ARG,LESS_THAN_BASIC,2013,20.659
1511,ARG,BASIC,2013,30.059
1512,ARG,INTERMEDATE,2013,48.602
1513,ARG,ADVANCED,2013,74.8
1551,ARG,TOTAL,2012,44.13
1552,ARG,LESS_THAN_BASIC,2012,24.77
1553,ARG,BASIC,2012,30.64
1554,ARG,INTERMEDATE,2012,47.788
1555,ARG,ADVANCED,2012,75.567
1593,ARG,TOTAL,2011,44.146
1594,ARG,LESS_THAN_BASIC,2011,23.777
