country,year,average_month_earning,level_education_standardised
AFG,2020,141.164,EDU_AGGREGATE_TOTAL
AFG,2020,160.875,LESS_THAN_BASIC
AFG,2020,159.042,BASIC
AFG,2020,118.219,INTERMEDATE
AFG,2020,159.359,ADVANCED
AFG,2014,96.376,EDU_AGGREGATE_TOTAL
AFG,2014,51.175,LESS_THAN_BASIC
AFG,2014,44.446,BASIC
AFG,2014,129.188,INTERMEDATE
AFG,2014,231.886,ADVANCED
AFG,2014,93.564,EDU_AGGREGATE_X
AGO,2021,110.062,EDU_AGGREGATE_TOTAL
AGO,2021,30.971,LESS_THAN_BASIC
AGO,2021,61.086,BASIC
AGO,2021,115.942,INTERMEDATE
AGO,2021,266.746,ADVANCED
AGO,2021,135.648,EDU_AGGREGATE_X
AGO,2019,161.155,EDU_AGGREGATE_TOTAL
AGO,2019,68.862,LESS_THAN_BASIC
AGO,2019,87.186,BASIC
AGO,2019,197.535,INTERMEDATE
AGO,2019,388.214,ADVANCED
AGO,2019,194.501,EDU_AGGREGATE_X
ALB,2012,2958.607,EDU_AGGREGATE_TOTAL
ALB,2012,1865.634,LESS_THAN_BASIC
ALB,2012,1712.201,BASIC
ALB,2012,2173.795,INTERMEDATE
ALB,2012,3711.56,ADVANCED
ALB,2008,2877.566,EDU_AGGREGATE_TOTAL
ALB,2008,1900.265,LESS_THAN_BASIC
ALB,2008,1931.021,BASIC
ALB,2008,2618.587,INTERMEDATE
ALB,2008,3803.212,ADVANCED
ALB,2005,2024.379,EDU_AGGREGATE_TOTAL
ALB,2005,1633.466,LESS_THAN_BASIC
ALB,2005,1129.526,BASIC
ALB,2005,1716.976,INTERMEDATE
ALB,2005,2807.389,ADVANCED
ALB,2002,113.367,EDU_AGGREGATE_TOTAL
ALB,2002,77.795,LESS_THAN_BASIC
ALB,2002,84.152,BASIC
ALB,2002,98.292,INTERMEDATE
ALB,2002,164.82,ADVANCED
ARG,2023,551.941,EDU_AGGREGATE_TOTAL
ARG,2023,240.91,LESS_THAN_BASIC
ARG,2023,280.701,BASIC
ARG,2023,494.627,INTERMEDATE
ARG,2023,831.808,ADVANCED
ARG,2023,304.847,EDU_AGGREGATE_X
ARG,2022,539.614,EDU_AGGREGATE_TOTAL
ARG,2022,243.3,LESS_THAN_BASIC
ARG,2022,285.815,BASIC
ARG,2022,470.317,INTERMEDATE
ARG,2022,822.398,ADVANCED
ARG,2022,405.764,EDU_AGGREGATE_X
ARG,2021,460.645,EDU_AGGREGATE_TOTAL
ARG,2021,172.554,LESS_THAN_BASIC
ARG,2021,241.429,BASIC
ARG,2021,402.299,INTERMEDATE
ARG,2021,674.963,ADVANCED
ARG,2021,276.371,EDU_AGGREGATE_X
ARG,2020,445.541,EDU_AGGREGATE_TOTAL
ARG,2020,191.5,LESS_THAN_BASIC
ARG,2020,235.504,BASIC
ARG,2020,380.078,INTERMEDATE
ARG,2020,653.961,ADVANCED
ARG,2020,61.139,EDU_AGGREGATE_X
ARG,2019,454.052,EDU_AGGREGATE_TOTAL
ARG,2019,195.612,LESS_THAN_BASIC
ARG,2019,238.5,BASIC
ARG,2019,407.64,INTERMEDATE
ARG,2019,683.095,ADVANCED
ARG,2019,150.261,EDU_AGGREGATE_X
ARG,2018,554.543,EDU_AGGREGATE_TOTAL
ARG,2018,258.091,LESS_THAN_BASIC
ARG,2018,314.0,BASIC
ARG,2018,501.404,INTERMEDATE
ARG,2018,839.771,ADVANCED
ARG,2018,447.71,EDU_AGGREGATE_X
ARG,2017,740.121,EDU_AGGREGATE_TOTAL
ARG,2017,384.91,LESS_THAN_BASIC
ARG,2017,436.703,BASIC
ARG,2017,686.978,INTERMEDATE
ARG,2017,1097.552,ADVANCED
ARG,2017,720.066,EDU_AGGREGATE_X
ARG,2014,674.418,EDU_AGGREGATE_TOTAL
ARG,2014,314.567,LESS_THAN_BASIC
ARG,2014,402.091,BASIC
ARG,2014,636.179,INTERMEDATE
ARG,2014,990.36,ADVANCED
ARG,2014,384.797,EDU_AGGREGATE_X
ARG,2013,769.035,EDU_AGGREGATE_TOTAL
ARG,2013,384.368,LESS_THAN_BASIC
ARG,2013,452.294,BASIC
ARG,2013,735.881,INTERMEDATE
ARG,2013,1109.988,ADVANCED
ARG,2013,524.874,EDU_AGGREGATE_X
ARG,2012,728.451,EDU_AGGREGATE_TOTAL
ARG,2012,305.281,LESS_THAN_BASIC
ARG,2012,418.373,BASIC
ARG,2012,701.71,INTERMEDATE
ARG,2012,1079.702,ADVANCED
ARG,2012,462.207,EDU_AGGREGATE_X
ARG,2011,643.242,EDU_AGGREGATE_TOTAL
ARG,2011,276.563,LESS_THAN_BASIC
ARG,2011,359.766,BASIC
ARG,2011,619.12,INTERMEDATE
ARG,2011,971.036,ADVANCED
ARG,2011,730.356,EDU_AGGREGATE_X
ARM,2021,206.674,EDU_AGGREGATE_TOTAL
ARM,2021,179.547,BASIC
ARM,2021,190.999,INTERMEDATE
ARM,2021,212.31,ADVANCED
ARM,2020,196.068,EDU_AGGREGATE_TOTAL
ARM,2020,144.145,BASIC
ARM,2020,165.896,INTERMEDATE
ARM,2020,230.53,ADVANCED
ARM,2019,192.503,EDU_AGGREGATE_TOTAL
ARM,2019,164.892,BASIC
ARM,2019,172.469,INTERMEDATE
ARM,2019,201.868,ADVANCED
ARM,2017,174.893,EDU_AGGREGATE_TOTAL
ARM,2017,123.787,BASIC
ARM,2017,145.968,INTERMEDATE
ARM,2017,207.949,ADVANCED
ARM,2016,165.543,EDU_AGGREGATE_TOTAL
ARM,2016,140.497,BASIC
ARM,2016,140.304,INTERMEDATE
ARM,2016,195.428,ADVANCED
ARM,2015,166.444,EDU_AGGREGATE_TOTAL
ARM,2015,135.205,BASIC
ARM,2015,141.257,INTERMEDATE
ARM,2015,193.896,ADVANCED
ARM,2014,179.492,EDU_AGGREGATE_TOTAL
ARM,2014,243.62,BASIC
ARM,2014,154.373,INTERMEDATE
ARM,2014,203.396,ADVANCED
ARM,2013,171.612,EDU_AGGREGATE_TOTAL
ARM,2013,146.811,BASIC
ARM,2013,138.895,INTERMEDATE
ARM,2013,183.267,ADVANCED
ARM,2012,172.05,EDU_AGGREGATE_TOTAL
ARM,2012,113.814,BASIC
ARM,2012,141.786,INTERMEDATE
ARM,2012,183.817,ADVANCED
ARM,2011,172.598,EDU_AGGREGATE_TOTAL
ARM,2011,107.135,BASIC
ARM,2011,144.544,INTERMEDATE
ARM,2011,181.903,ADVANCED
ARM,2010,159.881,EDU_AGGREGATE_TOTAL
ARM,2010,97.541,BASIC
ARM,2010,127.308,INTERMEDATE
ARM,2010,172.044,ADVANCED
ARM,2007,123.481,EDU_AGGREGATE_TOTAL
ARM,2007,89.889,BASIC
ARM,2007,100.123,INTERMEDATE
ARM,2007,131.249,ADVANCED
AUS,2021,3714.76,EDU_AGGREGATE_TOTAL
AUS,2021,2044.466,BASIC
AUS,2021,2972.422,INTERMEDATE
AUS,2021,4563.4,ADVANCED
AUS,2020,3209.089,EDU_AGGREGATE_TOTAL
AUS,2020,1830.926,BASIC
AUS,2020,2633.614,INTERMEDATE
AUS,2020,3912.64,ADVANCED
AUS,2019,3177.137,EDU_AGGREGATE_TOTAL
AUS,2019,1808.729,BASIC
AUS,2019,2490.073,INTERMEDATE
AUS,2019,3976.858,ADVANCED
AUS,2018,3268.242,EDU_AGGREGATE_TOTAL
AUS,2018,1933.39,BASIC
AUS,2018,2518.155,INTERMEDATE
AUS,2018,4141.127,ADVANCED
AUS,2017,3175.854,EDU_AGGREGATE_TOTAL
AUS,2017,1969.277,BASIC
AUS,2017,2497.316,INTERMEDATE
AUS,2017,3989.726,ADVANCED
AUS,2016,2995.427,EDU_AGGREGATE_TOTAL
AUS,2016,1946.335,BASIC
AUS,2016,2303.48,INTERMEDATE
AUS,2016,3773.131,ADVANCED
AUS,2015,2873.776,EDU_AGGREGATE_TOTAL
AUS,2015,1865.554,BASIC
AUS,2015,2255.263,INTERMEDATE
AUS,2015,3677.865,ADVANCED
AUS,2014,3354.691,EDU_AGGREGATE_TOTAL
AUS,2014,2215.18,BASIC
AUS,2014,2623.555,INTERMEDATE
AUS,2014,4345.245,ADVANCED
AUS,2013,3465.937,EDU_AGGREGATE_TOTAL
AUS,2013,2275.671,BASIC
AUS,2013,2818.23,INTERMEDATE
AUS,2013,4456.321,ADVANCED
AUS,2012,3680.184,EDU_AGGREGATE_TOTAL
AUS,2012,2520.819,BASIC
AUS,2012,2947.519,INTERMEDATE
AUS,2012,4789.23,ADVANCED
AUS,2011,3595.306,EDU_AGGREGATE_TOTAL
AUS,2011,2407.456,BASIC
AUS,2011,2883.363,INTERMEDATE
AUS,2011,4754.967,ADVANCED
AUS,2010,3088.915,EDU_AGGREGATE_TOTAL
AUS,2010,2101.11,BASIC
AUS,2010,2528.35,INTERMEDATE
AUS,2010,4124.761,ADVANCED
AUS,2009,2469.302,EDU_AGGREGATE_TOTAL
AUS,2009,1702.839,BASIC
AUS,2009,2075.305,INTERMEDATE
AUS,2009,3313.658,ADVANCED
AUS,2008,2566.333,EDU_AGGREGATE_TOTAL
AUS,2008,1683.304,BASIC
AUS,2008,2134.19,INTERMEDATE
AUS,2008,3519.176,ADVANCED
AUS,2007,2419.397,EDU_AGGREGATE_TOTAL
AUS,2007,1725.826,BASIC
AUS,2007,2000.517,INTERMEDATE
AUS,2007,3250.048,ADVANCED
AUS,2006,2065.714,EDU_AGGREGATE_TOTAL
AUS,2006,1498.835,BASIC
AUS,2006,1708.761,INTERMEDATE
AUS,2006,2762.84,ADVANCED
AUS,2005,1948.08,EDU_AGGREGATE_TOTAL
AUS,2005,1410.889,BASIC
AUS,2005,1776.789,INTERMEDATE
AUS,2005,2517.235,ADVANCED
AUS,2004,1731.064,EDU_AGGREGATE_TOTAL
AUS,2004,1286.064,BASIC
AUS,2004,1469.286,INTERMEDATE
AUS,2004,2347.87,ADVANCED
AUS,2003,1521.527,EDU_AGGREGATE_TOTAL
AUS,2003,1098.93,BASIC
AUS,2003,1293.859,INTERMEDATE
AUS,2003,2089.888,ADVANCED
AUS,2002,1229.605,EDU_AGGREGATE_TOTAL
AUS,2002,922.88,BASIC
AUS,2002,1022.691,INTERMEDATE
AUS,2002,1668.138,ADVANCED
AUS,2001,1206.748,EDU_AGGREGATE_TOTAL
AUS,2001,894.779,BASIC
AUS,2001,1019.791,INTERMEDATE
AUS,2001,1615.364,ADVANCED
AUT,2022,3586.268,EDU_AGGREGATE_TOTAL
AUT,2022,2016.826,BASIC
AUT,2022,3224.22,INTERMEDATE
AUT,2022,4507.696,ADVANCED
AUT,2022,2508.57,EDU_AGGREGATE_X
AUT,2021,4145.392,EDU_AGGREGATE_TOTAL
AUT,2021,2471.162,BASIC
AUT,2021,3672.724,INTERMEDATE
AUT,2021,5116.197,ADVANCED
AUT,2021,3024.253,EDU_AGGREGATE_X
AUT,2020,3844.428,EDU_AGGREGATE_TOTAL
AUT,2020,2281.227,BASIC
AUT,2020,3367.671,INTERMEDATE
AUT,2020,4748.954,ADVANCED
AUT,2019,3492.873,EDU_AGGREGATE_TOTAL
AUT,2019,2233.335,BASIC
AUT,2019,3047.601,INTERMEDATE
AUT,2019,4553.641,ADVANCED
AUT,2018,3508.222,EDU_AGGREGATE_TOTAL
AUT,2018,2066.918,BASIC
AUT,2018,3093.206,INTERMEDATE
AUT,2018,4558.411,ADVANCED
AUT,2017,3316.537,EDU_AGGREGATE_TOTAL
AUT,2017,1946.341,BASIC
AUT,2017,2911.22,INTERMEDATE
AUT,2017,4506.195,ADVANCED
AUT,2016,3235.795,EDU_AGGREGATE_TOTAL
AUT,2016,2064.668,BASIC
AUT,2016,2849.946,INTERMEDATE
AUT,2016,4298.927,ADVANCED
AUT,2015,3100.19,EDU_AGGREGATE_TOTAL
AUT,2015,1830.344,BASIC
AUT,2015,2769.203,INTERMEDATE
AUT,2015,4206.62,ADVANCED
AUT,2014,3868.171,EDU_AGGREGATE_TOTAL
AUT,2014,2510.005,BASIC
AUT,2014,3452.558,INTERMEDATE
AUT,2014,5189.451,ADVANCED
AUT,2013,3641.087,EDU_AGGREGATE_TOTAL
AUT,2013,2965.525,LESS_THAN_BASIC
AUT,2013,2388.982,BASIC
AUT,2013,3461.008,INTERMEDATE
AUT,2013,5266.471,ADVANCED
AUT,2012,3426.251,EDU_AGGREGATE_TOTAL
AUT,2012,2761.589,LESS_THAN_BASIC
AUT,2012,2263.676,BASIC
AUT,2012,3317.976,INTERMEDATE
AUT,2012,4757.248,ADVANCED
AUT,2011,3643.307,EDU_AGGREGATE_TOTAL
